signal,prompt,human_response,human_correctness,n_words,hits,transcript_enhanced,transcript_clean,hidden_file
S08979_L0217_E007,i remember the teacher who hit me with a stick,i remember the teacher who hit me with a stick,100.0,10,10,I remember the teacher who hit me with a stick.,I remember the teacher who hit me with a stick.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08979_L0217_E007.pt
S08980_L0222_E007,eloquence alone was sufficient to defeat the motion,,0.0,8,0,Alacrons alone is sufficient to defeat the mansion.,Eloquence alone was sufficient to defeat the motion.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08980_L0222_E007.pt
S08983_L0209_E007,how did they make the stuff hold all that water,why did they make this set weaker,30.0,10,3,How did they make this stuff all over again?,How did they make the stuff hold all that water?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08983_L0209_E007.pt
S08987_L0217_E007,he did not want anything to go wrong,he did not want anything to go wrong,100.0,8,8,He did not want anything to go wrong.,He did not want anything to go wrong.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08987_L0217_E007.pt
S08993_L0215_E007,she forced her voice down an octave,she thought that,14.2857142857,7,1,She forced her voice down an octave.,She forced her voice down an octave.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08993_L0215_E007.pt
S08997_L0201_E007,they store any amount from one to nine,they store any amount from one to nine,100.0,8,8,They store any amount from 1 to 9.,They store any amount from 1 to 9.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08997_L0201_E007.pt
S08998_L0206_E007,could he get leave for this dance,could he get leave for this dance,100.0,7,7,Could he get Lee for the stones?,Could he get leave for this dance?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S08998_L0206_E007.pt
S09000_L0227_E007,but then they would have heard her surely,the saw me,0.0,8,0,"But then they would have heard her, surely?","But then they would have heard her, surely?",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09000_L0227_E007.pt
S09011_L0224_E007,it's a gun he said bending to pick it up,it's a gun he said failing to pick it up,90.0,10,9,"It's a gun, he said, bending to pick it up.","It's a gun,"" he said, bending to pick it up.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09011_L0224_E007.pt
S09018_L0243_E007,i've had them make up a bed for you,i've had them make up a bed for you,100.0,9,9,I've had the make-up a bit for you.,I've had them make up a bed for you.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09018_L0243_E007.pt
S09030_L0216_E007,still she was on her own and not very brave,still she was on her own and not very brave,100.0,10,10,"Still, she was on her own and not very brave.","Still, she was on her own and not very brave.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09030_L0216_E007.pt
S09034_L0218_E007,the perimeter path was beside the coal mountain,the perimeter path was beside the cold mountain,87.5,8,7,The perimeter path was beside the coal mountain.,The perimeter path was beside the Coal Mountain.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09034_L0218_E007.pt
S09034_L0221_E007,the perimeter path was beside the coal mountain,the perimeter path was beside the coal mountain,100.0,8,8,The perimeter path was beside the coal mountain.,The perimeter path was beside the Coal Mountain.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09034_L0221_E007.pt
S09047_L0206_E007,we communicate with other people throughout our lives,we communicate with other people throughout our lives,100.0,8,8,We communicate with other people throughout our lives.,We communicate with other people throughout our lives.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09047_L0206_E007.pt
S09049_L0240_E007,most of us value a good listener,most of us found you a good listener ,85.7142857143,7,6,Most of us value a good listener.,Most of us value a good listener.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09049_L0240_E007.pt
S09061_L0216_E007,i didn't expect anything in return for them,i didn't inspect anything in return for them,87.5,8,7,I didn't expect anything in return for them.,I didn't expect anything in return for them.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09061_L0216_E007.pt
S09065_L0240_E007,indeed the longer you kept them the better they became,indeed the longer you get them the better they became,90.0,10,9,"Indeed, the longer you kept them, the better they became.","Indeed, the longer you kept them, the better they became.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09065_L0240_E007.pt
S09069_L0222_E007,he didn't want to play the game part time,he didn't want to play the game part time,100.0,9,9,You didn't want to play the game part time.,You didn't want to play the game part time.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09069_L0222_E007.pt
S09071_L0236_E007,would such a document be difficult to trace,with such a document it would be difficult to tell,75.0,8,6,Would such a document be difficult to trace?,Would such a document be difficult to trace?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09071_L0236_E007.pt
S09073_L0215_E007,he spurred the horse into a canter,he spurred the horse into a canter ,100.0,7,7,He spurred the horse into a canter.,He spurred the horse into a canter.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09073_L0215_E007.pt
S09078_L0212_E007,there you have the difference between us and them,then we have the distance between us and them,66.6666666667,9,6,There you have the difference between us and them.,There you have the difference between us and them.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09078_L0212_E007.pt
S09078_L0221_E007,there you have the difference between us and them,there you have the difference between us and them,100.0,9,9,Maybe half the difference between us and them.,There you have the difference between us and them.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09078_L0221_E007.pt
S09080_L0218_E007,it also meant something looking back as well as forward,it also meant something looking back as well as forward ,100.0,10,10,"It also meant something looking back, as well as forward.",It also meant something looking back as well as forward.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09080_L0218_E007.pt
S09082_L0227_E007,at the very least he was known and accessible,at the very least he was known to be,77.7777777778,9,7,At the very least he was known and accessible.,At the very least he was known and accessible.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09082_L0227_E007.pt
S09086_L0200_E007,a shadow falling across the bench was her only warning,the shadow across the bench,40.0,10,4,A shadow is falling across the bench with her own hand.,A shadow falling across the bench was her only warning.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09086_L0200_E007.pt
S09086_L0240_E007,a shadow falling across the bench was her only warning,a shadow that had fallen across the bench ,50.0,10,5,A shadowing falling across the bench was around me.,A shadow falling across the bench was her only warning.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09086_L0240_E007.pt
S09088_L0217_E007,in the meantime keep looking over your shoulder,in the meantime keep looking over your shoulder,100.0,8,8,"In the meantime, keep looking over your shoulder.","In the meantime, keep looking over your shoulder.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09088_L0217_E007.pt
S09092_L0215_E007,you go off now and forget all about it,you go off now and forget all about it,100.0,9,9,You go off now and forget all about it.,You go off now and forget all about it.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09092_L0215_E007.pt
S09094_L0224_E007,you don't ask for much do you mate,you don't ask for much do you mate ,100.0,8,8,"You don't ask for much, do you mate?","You don't ask for much, do you mate?",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09094_L0224_E007.pt
S09101_L0222_E007,surely such a creature cannot be of use to us,surely such a creature cannot be of use to us,100.0,10,10,Surely such a creature can't be of use to us.,Surely such a creature cannot be of use to us.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09101_L0222_E007.pt
S09111_L0209_E007,he's much younger than me of course,he's much younger than me of course,100.0,7,7,He's much younger than me of course.,He's much younger than me of course.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09111_L0209_E007.pt
S09125_L0219_E007,her mouth was compressed into a tight line,her mouth was pressed into tight line,75.0,8,6,The mouth was compressed into a tight line.,Her mouth was compressed into a tight line.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09125_L0219_E007.pt
S09125_L0225_E007,her mouth was compressed into a tight line,his mouth was compressed to a tight line,75.0,8,6,The mouth was compressed into a tight line.,Her mouth was compressed into a tight line.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09125_L0225_E007.pt
S09128_L0201_E007,in fact there was not much to choose between them,in fact there was not that much to choose between them,100.0,10,10,"In fact, there was not much to choose between them.","In fact, there was not much to choose between them.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09128_L0201_E007.pt
S09136_L0206_E007,she couldn't let them into her mind,she couldn't let them into her mind,100.0,7,7,She couldn't let them into her mind.,She couldn't let them into her mind.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09136_L0206_E007.pt
S09136_L0212_E007,she couldn't let them into her mind,she couldn't let them into her mind,100.0,7,7,She couldn't let them into her mind.,She couldn't let them into her mind.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09136_L0212_E007.pt
S09140_L0217_E007,everybody ought to get a bite of the big apple,everybody ought,20.0,10,2,Everybody ought to get a bite of the big apple.,Everybody ought to get a bite of the big apple.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09140_L0217_E007.pt
S09142_L0216_E007,and what was the reason for it,and what would the reason for it,85.7142857143,7,6,And what was the reason for it?,And what was the reason for it?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09142_L0216_E007.pt
S09144_L0206_E007,i knew i didn't want to walk up that beach,i knew i didn't want to walk up that beach,100.0,10,10,I knew I didn't want to walk up that beach.,I knew I didn't want to walk up that beach.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09144_L0206_E007.pt
S09144_L0212_E007,i knew i didn't want to walk up that beach,i knew i didn't want to walk up that beach,100.0,10,10,I knew I didn't want to walk up that beach.,I knew I didn't want to walk up that beach.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09144_L0212_E007.pt
S09152_L0212_E007,he was sleepy now he was resting,he was sleepy now he was resting,100.0,7,7,He was sleepy man. He was resting.,He was sleepy now. He was resting.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09152_L0212_E007.pt
S09152_L0221_E007,he was sleepy now he was resting,he was sleepy now he was resting,100.0,7,7,He was sleepy man. He was resting.,He was sleepy now. He was resting.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09152_L0221_E007.pt
S09154_L0206_E007,they must have a lot of catching up to do,they have got a lot of catching up to do,80.0,10,8,I must have a lot of catching up to do.,They must have a lot of catching up to do.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09154_L0206_E007.pt
S09154_L0212_E007,they must have a lot of catching up to do,can you feel we have a lot of catching up to do,80.0,10,8,I must have a lot of catching up to do.,They must have a lot of catching up to do.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09154_L0212_E007.pt
S09155_L0217_E007,she would never get through to him,he would never get through to him,85.7142857143,7,6,She would never get through to him.,She would never get through to him.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09155_L0217_E007.pt
S09156_L0225_E007,come and sit here and tell me about yourself,come and sit here and tell me about yourself,100.0,9,9,Come and sit here and tell me about yourself.,Come and sit here and tell me about yourself.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09156_L0225_E007.pt
S09156_L0231_E007,come and sit here and tell me about yourself,come and sit here and tell me about yourself ,100.0,9,9,Come and sit here and tell me about yourself.,Come and sit here and tell me about yourself.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09156_L0231_E007.pt
S09158_L0229_E007,victoria met her in the hall saying you look frozen,victoria met her in the fall you look frozen,80.0,10,8,"Victoria met her in the hall saying, You look frozen.","Victoria met her in the hall saying, You look frozen.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09158_L0229_E007.pt
S09161_L0218_E007,there was a bang and a thud,there was a bang and a thud,100.0,7,7,There was a bang and a thud.,There was a bang and a thud.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09161_L0218_E007.pt
S09161_L0221_E007,there was a bang and a thud,there was a bang and a thud,100.0,7,7,There was a bang and a thud.,There was a bang and a thud.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09161_L0221_E007.pt
S09164_L0224_E007,the second goal should have been stopped too,the second girl should have been stopped too ,87.5,8,7,The second gold should have been stopped too.,The second goal should have been stopped too.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09164_L0224_E007.pt
S09175_L0215_E007,it's not easy to talk against the noise,it's not easy to talk against the noise,100.0,8,8,It's not easy to talk against the noise.,It's not easy to talk against the noise.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09175_L0215_E007.pt
S09178_L0201_E007,and there is no profit in that,and there is no profit in that,100.0,7,7,And there is no profit in that.,And there is no profit in that.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09178_L0201_E007.pt
S09188_L0243_E007,there will be no need for that,there will be no need for that,100.0,7,7,There will be no need for that.,There will be no need for that.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09188_L0243_E007.pt
S09193_L0218_E007,it's almost like being in the country,it's almost like being in the country,100.0,7,7,It's almost like being in the country.,It's almost like being in the country.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09193_L0218_E007.pt
S09193_L0221_E007,it's almost like being in the country,it's almost like being in the country,100.0,7,7,It's almost like being in the country.,It's almost like being in the country.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09193_L0221_E007.pt
S09196_L0236_E007,ah yes there it was quite large and unattached,ah yes very good at last unattached,33.3333333333,9,3,"Ah yes there it was, quite large and unattached.","Ah yes, there it was, quite large and unattached.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09196_L0236_E007.pt
S09203_L0217_E007,it's no use going now carmen told him,it's no use going now told him,87.5,8,7,"It's no use going now, Carmen told him.","It's no use going now, Carmen told him.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09203_L0217_E007.pt
S09205_L0227_E007,his senior registrar did all his operating,see their disguise,0.0,7,0,His senior registrar did in his operating.,His senior registrar did all his operating.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09205_L0227_E007.pt
S09214_L0215_E007,what are you trying to do to me,what are you trying to do to me,100.0,8,8,What are you trying to do to me?,What are you trying to do to me?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09214_L0215_E007.pt
S09227_L0243_E007,roll over and repeat on the other side,roll over and repeat on the other side ,100.0,8,8,Roll over and repeat on the other side.,Roll over and repeat on the other side.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09227_L0243_E007.pt
S09228_L0200_E007,he thought of himself as a responsible and dependable person,he thought of himself as a responsible and dependable person,100.0,10,10,He thought of himself as a responsible and dependable person.,He thought of himself as a responsible and dependable person.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09228_L0200_E007.pt
S09231_L0209_E007,i wish someone would come along and take me home,i wish someone would come along and take me home,100.0,10,10,I wish someone would come along and take me home.,I wish someone would come along and take me home.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09231_L0209_E007.pt
S09234_L0201_E007,i have a strange illusion quite often,i have a something,42.8571428571,7,3,I have a skin intuition quite often.,I have a strange illusion quite often.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09234_L0201_E007.pt
S09245_L0217_E007,when they eventually spoke it was to quarrel,when they eventually,37.5,8,3,"When they eventually spoke, it was to Quarrin.","When they eventually spoke, it was to quarrel.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09245_L0217_E007.pt
S09246_L0206_E007,let me try to explain what i am getting at,let me try to explain what i am getting at,100.0,10,10,Let me try to explain what I'm getting at.,Let me try to explain what I am getting at.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09246_L0206_E007.pt
S09248_L0236_E007,that was the end of that then,that was the end of that then,100.0,7,7,That was the end of that then.,That was the end of that then.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09248_L0236_E007.pt
S09250_L0242_E007,no it's nothing to do with him,no it's nothing to do with him,100.0,7,7,"No, it's nothing to do with him.","No, it's nothing to do with him.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09250_L0242_E007.pt
S09255_L0219_E007,i don't want to tell you right now,i don't want to tell you what i found,75.0,8,6,I don't want to tell you right now.,I don't want to tell you right now.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09255_L0219_E007.pt
S09259_L0224_E007,either mean it or don't do it,either mean it or don't do it,100.0,7,7,"Either mean it, or don't do it.",Either mean it or don't do it.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09259_L0224_E007.pt
S09262_L0227_E007,then we can get the help we need,then we can get the help we need,100.0,8,8,Then we can get the help we need.,Then we can get the help we need.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09262_L0227_E007.pt
S09264_L0227_E007,i've had to be very strong through this,i've to be very strong for this,75.0,8,6,I've had to be very strong through this.,I've had to be very strong through this.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09264_L0227_E007.pt
S09265_L0216_E007,i think you could consider that a brush off,i think you can consider that a brush off,88.8888888889,9,8,I think you could consider that a brush off.,I think you could consider that a brush-off.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09265_L0216_E007.pt
S09270_L0229_E007,thought you were our missing best man come at last,thought you were our missing best man come at last,100.0,10,10,Thought you were our missing best man come at last.,Thought you were our missing best man come at last.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09270_L0229_E007.pt
S09270_L0242_E007,thought you were our missing best man come at last,thought we were missing our best man come at last,70.0,10,7,Thought you were our missing best man come at last.,Thought you were our missing best man come at last.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09270_L0242_E007.pt
S09271_L0217_E007,i don't want to go home sir,i don't want to sir,71.4285714286,7,5,I don't want to go home sir.,"I don't want to go home, sir.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09271_L0217_E007.pt
S09274_L0227_E007,that is good you will be open to education,application,0.0,9,0,That is good. You will be open to education.,That is good. You will be open to education.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09274_L0227_E007.pt
S09276_L0215_E007,but how did you know about me,then how did you know about me,85.7142857143,7,6,But how did you know about me?,But how did you know about me?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09276_L0215_E007.pt
S09277_L0216_E007,the van began to move forward again,the van began to move forward again,100.0,7,7,The van began to move forward again.,The van began to move forward again.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09277_L0216_E007.pt
S09280_L0216_E007,i urge you all to be most careful,i urge you all to be most careful,100.0,8,8,I urge you all to be most careful.,I urge you all to be most careful.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09280_L0216_E007.pt
S09281_L0209_E007,of course i do with great skill,of course i do with great skill,100.0,7,7,"Of course I do, with great skill.","Of course I do, with great skill.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09281_L0209_E007.pt
S09282_L0224_E007,it's a tradition or an old charter or something,it's a tradition or an old charter or something,100.0,9,9,It's a tradition or an old charter or something.,It's a tradition or an old charter or something.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09282_L0224_E007.pt
S09288_L0218_E007,besides then i can get a female,besides is female,28.5714285714,7,2,"Besides, then I can get a female.","Besides, then I can get a female.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09288_L0218_E007.pt
S09297_L0209_E007,we will have to be careful he said,we will have to be careful he said,100.0,8,8,"We will have to be careful, he said.","We will have to be careful,"" he said.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09297_L0209_E007.pt
S09298_L0217_E007,far as i know he's still there,as far as i know he's still there,100.0,7,7,"As far as I know, he's still there.","Far as I know, he's still there.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09298_L0217_E007.pt
S09306_L0227_E007,the distinction above is one without a difference,the distinction is known about the difference,50.0,8,4,The distinction above is one without a difference.,The distinction above is one without a difference.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09306_L0227_E007.pt
S09308_L0216_E007,rain or no rain i must get on my way,on their own i must get on my way,60.0,10,6,"Rain or no rain, I must get on my way.","Rain or no rain, I must get on my way.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09308_L0216_E007.pt
S09317_L0215_E007,how free is a free public house,how free is a free public house,100.0,7,7,How free is a free public house?,How free is a free public house?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09317_L0215_E007.pt
S09321_L0218_E007,we must now look at that bourgeois society,we must now look at that bourgeois society,100.0,8,8,We must now look at that bourgeois society.,We must now look at that bourgeois society.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09321_L0218_E007.pt
S09321_L0221_E007,we must now look at that bourgeois society,we must now look at that bourgeois society,100.0,8,8,We must now look at that bourgeois society.,We must now look at that bourgeois society.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09321_L0221_E007.pt
S09325_L0243_E007,i wouldn't dream of taking them before a race,i wouldn't dream of taking them before a race ,100.0,9,9,I wouldn't dream of taking them before a race.,I wouldn't dream of taking them before a race.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09325_L0243_E007.pt
S09328_L0218_E007,she forced herself to look away from him,she forced herself to look away from him,100.0,8,8,She forced herself to look away from him.,She forced herself to look away from him.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09328_L0218_E007.pt
S09328_L0221_E007,she forced herself to look away from him,she forced herself to look away from him,100.0,8,8,She forced herself to look away from him.,She forced herself to look away from him.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09328_L0221_E007.pt
S09338_L0209_E007,the second time was even better than the first,the second time was even better than the first,100.0,9,9,The second time was even better than the first.,The second time was even better than the first.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09338_L0209_E007.pt
S09339_L0206_E007,there was a harsh note in his voice,there was a false note in his voice,87.5,8,7,There was a pulse length in his voice.,There was a harsh note in his voice.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09339_L0206_E007.pt
S09342_L0216_E007,at least she thought i will die touching something beautiful,at least she thought i will die,70.0,10,7,"At least, she thought. I will die touching something beautiful.","At least, she thought, I will die touching something beautiful.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09342_L0216_E007.pt
S09343_L0219_E007,i could do with a good laugh,i could do with a good fart,85.7142857143,7,6,I could do with a good boss.,I could do with a good laugh.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09343_L0219_E007.pt
S09343_L0225_E007,i could do with a good laugh,i could consume it was too fast,28.5714285714,7,2,I could do with a good boss.,I could do with a good laugh.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09343_L0225_E007.pt
S09345_L0236_E007,we have had discussion about the word federal,we have had discussion about the word frizzle,87.5,8,7,We have had discussion about the word federal.,We have had discussion about the word federal.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09345_L0236_E007.pt
S09346_L0200_E007,it was my choice to stop working,it was my choice to stop working,100.0,7,7,It was my choice to stop working.,It was my choice to stop working.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09346_L0200_E007.pt
S09350_L0239_E007,she sat in the hedge for a long time,he sat in a hedge for a long time,77.7777777778,9,7,She sat in her head for a long time.,She sat in the hedge for a long time.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09350_L0239_E007.pt
S09351_L0239_E007,it's not just that he needs the money,it's not just that he needs the money,100.0,8,8,It's not just that he needs the money.,It's not just that he needs the money.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09351_L0239_E007.pt
S09352_L0239_E007,he said it was a great team effort,he said it was a great team effort,100.0,8,8,"He said, it was a great team effort.",He said it was a great team effort.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09352_L0239_E007.pt
S09362_L0219_E007,his vigorous faith was an active faith,his faith was an active faith,85.7142857143,7,6,His vigorous faith was an active faith.,His vigorous faith was an active faith.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09362_L0219_E007.pt
S09362_L0225_E007,his vigorous faith was an active faith,his hidden face was an active face,57.1428571429,7,4,His vigorous faith was an active faith.,His vigorous faith was an active faith.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09362_L0225_E007.pt
S09363_L0209_E007,let us look more closely at this explanation,let us look more closely at this explanation,100.0,8,8,Let us look more closely at this explanation.,Let us look more closely at this explanation.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09363_L0209_E007.pt
S09365_L0216_E007,but in the main the breakfast room was their home,in the morning breakfast will be in their home,40.0,10,4,"But in the name, the breakfast room was their home.","But in the main, the breakfast room was their home.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09365_L0216_E007.pt
S09366_L0243_E007,how did you know about my father and my uncle,how did you know about my father and my uncle ,100.0,10,10,How did you know about my father and my uncle?,How did you know about my father and my uncle?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09366_L0243_E007.pt
S09377_L0218_E007,but it just grew out of all proportion,a portion,0.0,8,0,But it just threw out of all proportion.,But it just grew out of all proportion.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09377_L0218_E007.pt
S09377_L0221_E007,but it just grew out of all proportion,but it just grew out of all proportion,100.0,8,8,But it just grew out of all proportion.,But it just grew out of all proportion.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09377_L0221_E007.pt
S09378_L0201_E007,his ambulance service has taken off in a big way,the ambulance service has taken off in a big way,90.0,10,9,His ambulance service has taken off in a big way.,His ambulance service has taken off in a big way.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09378_L0201_E007.pt
S09382_L0229_E007,he is a simple man and old,he is a simple man,71.4285714286,7,5,"Use a simple one, and all.",He is a simple man and old.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09382_L0229_E007.pt
S09382_L0242_E007,he is a simple man and old,he is a simple man and old,100.0,7,7,Use a simple one handle.,He is a simple man and old.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09382_L0242_E007.pt
S09396_L0218_E007,but this is more out of opportunity than necessity,but this is more out of opportunity than necessity ,100.0,9,9,But this is more out of opportunity than necessity.,But this is more out of opportunity than necessity.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09396_L0218_E007.pt
S09397_L0217_E007,it isn't like going to the lavatory,it isn't like going to the lavatory,100.0,7,7,It isn't like going to the lab at 2.,It isn't like going to the lavatory.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09397_L0217_E007.pt
S09402_L0236_E007,he's a bit young of course but a bright boy,it's a bit but lancorn,30.0,10,3,"He's a bit young of course, but a brunt boy.","He's a bit young of course, but a bright boy.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09402_L0236_E007.pt
