signal,prompt,human_response,human_correctness,n_words,hits,transcript_enhanced,wcs,correct_words,transcript_clean,hidden_file
S09306_L0212_E003,the distinction above is one without a difference,the distinction above is one without a difference,100.0,8,8,The distinction above is one without a difference.,100.0,the distinction above is one without a difference,The distinction above is one without a difference.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09306_L0212_E003.pt
S09306_L0221_E003,the distinction above is one without a difference,a distinction about is one without a difference,75.0,8,6,The distinction above is one without a difference.,100.0,the distinction above is one without a difference,The distinction above is one without a difference.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09306_L0221_E003.pt
S09308_L0239_E003,rain or no rain i must get on my way,rain or no rain i must get on my way,100.0,10,10,"Rain or no rain, I must get on my way.",100.0,rain or no rain i must get on my way,"Rain or no rain, I must get on my way.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09308_L0239_E003.pt
S09314_L0224_E003,the man with one arm says anna,the man with one arm says anna ,100.0,7,7,The man with one arm says Anna.,100.0,the man with one arm says anna,"The man with one arm, says Anna.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09314_L0224_E003.pt
S09315_L0218_E003,home rule was just around the corner,o'leary was just around the corner,71.4285714286,7,5,Home rule was just around the corner.,100.0,home rule was just around the corner,Home rule was just around the corner.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09315_L0218_E003.pt
S09315_L0221_E003,home rule was just around the corner,was just around the corner,71.4285714286,7,5,Home rule was just around the corner.,100.0,home rule was just around the corner,Home rule was just around the corner.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09315_L0221_E003.pt
S09325_L0229_E003,i wouldn't dream of taking them before a race,i wouldn't dream of taking them before a race,100.0,9,9,I wouldn't dream of taking them before a race.,100.0,i wouldn't dream of taking them before a race,I wouldn't dream of taking them before a race.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09325_L0229_E003.pt
S09329_L0222_E003,police were forced to clear the court,i need,0.0,7,0,Police were forced to clear the court.,100.0,police were forced to clear the court,Police were forced to clear the court.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09329_L0222_E003.pt
S09332_L0222_E003,i've decided to get you out of here,i've decided to get you out of here,100.0,8,8,I've decided to get you out of here.,100.0,i've decided to get you out of here,I've decided to get you out of here.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09332_L0222_E003.pt
S09338_L0242_E003,the second time was even better than the first,second time was even better than the first,88.8888888889,9,8,The second time was even better than the first.,100.0,the second time was even better than the first,The second time was even better than the first.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09338_L0242_E003.pt
S09339_L0200_E003,there was a harsh note in his voice,there was a harsh note in his voice,100.0,8,8,There was a harsh note in his voice.,100.0,there was a harsh note in his voice,There was a harsh note in his voice.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09339_L0200_E003.pt
S09341_L0219_E003,would you be so kind as to repeat them again,would you as so kind as to repeat them again,90.0,10,9,Would you be so kind as to repeat them again?,100.0,would you be so kind as to repeat them again,Would you be so kind as to repeat them again?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09341_L0219_E003.pt
S09341_L0225_E003,would you be so kind as to repeat them again,would you be so kind as to repeat them again,100.0,10,10,Would you be so kind as to repeat them again?,100.0,would you be so kind as to repeat them again,Would you be so kind as to repeat them again?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09341_L0225_E003.pt
S09342_L0239_E003,at least she thought i will die touching something beautiful,at least she said i will die touching something easily,80.0,10,8,"At least, she thought, I will die touching something beautiful.",100.0,at least she thought i will die touching something beautiful,"At least, she thought, I will die touching something beautiful.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09342_L0239_E003.pt
S09343_L0243_E003,i could do with a good laugh,i could do with a good laugh,100.0,7,7,I can do with a good mind.,71.42857142857143,i do with a good,I could do with a good laugh.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09343_L0243_E003.pt
S09345_L0227_E003,we have had discussion about the word federal,we have had discussion about the world,75.0,8,6,We have had discussion about the word federal.,100.0,we have had discussion about the word federal,We have had discussion about the word federal.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09345_L0227_E003.pt
S09346_L0216_E003,it was my choice to stop working,it was my choice to stop working,100.0,7,7,It was my choice to stop working.,100.0,it was my choice to stop working,It was my choice to stop working.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09346_L0216_E003.pt
S09362_L0243_E003,his vigorous faith was an active faith,his vigorous faith was an active faith ,100.0,7,7,His vigorous faith was an active faith.,100.0,his vigorous faith was an active faith,His vigorous faith was an active faith.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09362_L0243_E003.pt
S09363_L0242_E003,let us look more closely at this explanation,let us look more closely at this explanation,100.0,8,8,Let us look more closely at this explanation.,100.0,let us look more closely at this explanation,Let us look more closely at this explanation.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09363_L0242_E003.pt
S09365_L0239_E003,but in the main the breakfast room was their home,the breakfast was their home,50.0,10,5,"But in the name, the breakfast room was their home.",90.0,but in the the breakfast room was their home,"But in the main, the breakfast room was their home.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09365_L0239_E003.pt
S09366_L0229_E003,how did you know about my father and my uncle,how did you know about my father and my uncle,100.0,10,10,How did you know about my father and my uncle?,100.0,how did you know about my father and my uncle,How did you know about my father and my uncle?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09366_L0229_E003.pt
S09380_L0219_E003,and what a hit the cup was,what if the cup was,57.1428571429,7,4,And what a hit the cup was!,100.0,and what a hit the cup was,And what a hit the cup was!,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09380_L0219_E003.pt
S09380_L0225_E003,and what a hit the cup was,and what if he hit the cup was,85.7142857143,7,6,And what if it the cup was?,71.42857142857143,and what the cup was,And what a hit the cup was!,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09380_L0225_E003.pt
S09382_L0201_E003,he is a simple man and old,he is a simple man and old,100.0,7,7,It is a simple man and old.,85.71428571428571,is a simple man and old,He is a simple man and old.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09382_L0201_E003.pt
S09396_L0224_E003,but this is more out of opportunity than necessity,but this is more out of opportunity than necessity,100.0,9,9,But this is more out of opportunity than necessity.,100.0,but this is more out of opportunity than necessity,But this is more out of opportunity than necessity.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09396_L0224_E003.pt
S09397_L0215_E003,it isn't like going to the lavatory,he didn't like going to the lavatory ,71.4285714286,7,5,It isn't like going to the lab at 3.,85.71428571428571,it isn't like going to the,It isn't like going to the lavatory.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09397_L0215_E003.pt
S09398_L0219_E003,i thought i ought to ask him,ask him,28.5714285714,7,2,I thought I ought to ask him.,100.0,i thought i ought to ask him,I thought I ought to ask him.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09398_L0219_E003.pt
S09398_L0225_E003,i thought i ought to ask him,i thought i ought to ask him,100.0,7,7,I thought I ought to ask him.,100.0,i thought i ought to ask him,I thought I ought to ask him.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09398_L0225_E003.pt
S09402_L0227_E003,he's a bit young of course but a bright boy,he was a bit young of course but,60.0,10,6,"He's a bit young of course, but a bright boy.",100.0,he's a bit young of course but a bright boy,"He's a bit young of course, but a bright boy.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09402_L0227_E003.pt
S09406_L0231_E003,tell me what you made of her,tell me what you made of her  ,100.0,7,7,Tell me what you made of her.,100.0,tell me what you made of her,Tell me what you made of her.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09406_L0231_E003.pt
S09436_L0229_E003,what can i do for you chief inspector,what can i do for you chief inspector,100.0,8,8,What can I do for you Chief Inspector?,100.0,what can i do for you chief inspector,"What can I do for you, Chief Inspector?",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09436_L0229_E003.pt
S09436_L0242_E003,what can i do for you chief inspector,what can i do for you chief inspector,100.0,8,8,What can I do for you Chief Inspector?,100.0,what can i do for you chief inspector,"What can I do for you, Chief Inspector?",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09436_L0242_E003.pt
S09438_L0201_E003,people think they ought to do something for you,people think they ought to do something for you,100.0,9,9,People think they ought to do something for you.,100.0,people think they ought to do something for you,People think they ought to do something for you.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09438_L0201_E003.pt
S09446_L0225_E003,she did but in a roundabout way,she did but in a round about way,85.7142857143,7,6,"She did, but in a roundabout way.",100.0,she did but in a roundabout way,She did but in a roundabout way.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09446_L0225_E003.pt
S09446_L0231_E003,she did but in a roundabout way,she did but in a roundabout way ,100.0,7,7,"She did, but in a roundabout way.",100.0,she did but in a roundabout way,She did but in a roundabout way.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09446_L0231_E003.pt
S09448_L0243_E003,it's actually made me quite nervous about being in london,it actually made me quite nervous about being in london,90.0,10,9,It's actually made me quite nervous about being in London.,100.0,it's actually made me quite nervous about being in london,It's actually made me quite nervous about being in London.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09448_L0243_E003.pt
S09450_L0224_E003,the district society is not alone in its call,the district society is not alone in its call,100.0,9,9,The district society is not alone in its call.,100.0,the district society is not alone in its call,The district society is not alone in its call.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09450_L0224_E003.pt
S09451_L0224_E003,jack raised one hand in a feeble salute,jack raised one hand in a feeble salute,100.0,8,8,Jack raised one hand in a feeble salute.,100.0,jack raised one hand in a feeble salute,Jack raised one hand in a feeble salute.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09451_L0224_E003.pt
S09452_L0227_E003,he was speaking with sham formality again,he was speaking with formality again,85.7142857143,7,6,He was speaking with sham formality again.,100.0,he was speaking with sham formality again,He was speaking with sham formality again.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09452_L0227_E003.pt
S09455_L0231_E003,tonight she would be cool and in command,tonight she will be cool and in command ,87.5,8,7,Tonight she would be cool and in command.,100.0,tonight she would be cool and in command,Tonight she would be cool and in command.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09455_L0231_E003.pt
S09459_L0216_E003,if only there were something substantial to hide behind,if only there were something substantial to hide behind,100.0,9,9,If only there was something substantial to hide behind.,88.88888888888889,if only there something substantial to hide behind,If only there was something substantial to hide behind.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09459_L0216_E003.pt
S09460_L0229_E003,you can live there the rest of your life,you can live there the rest of your life,100.0,9,9,You can live there the rest of your life.,100.0,you can live there the rest of your life,You can live there the rest of your life.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09460_L0229_E003.pt
S09460_L0242_E003,you can live there the rest of your life,you can live there the rest of your life,100.0,9,9,You can live there the rest of your life.,100.0,you can live there the rest of your life,You can live there the rest of your life.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09460_L0242_E003.pt
S09463_L0212_E003,would you give me your view of the problem,would you give me your view of the problem?,100.0,9,9,Would you give me your view of the problem?,100.0,would you give me your view of the problem,Would you give me your view of the problem?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09463_L0212_E003.pt
S09463_L0221_E003,would you give me your view of the problem,would you give me your view of the problem,100.0,9,9,Would you give me your view of the problem?,100.0,would you give me your view of the problem,Would you give me your view of the problem?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09463_L0221_E003.pt
S09470_L0219_E003,does he talk to you about the medieval circle,has he talked to me about the medieval circle,66.6666666667,9,6,Let him talk to you about the medieval circle.,77.77777777777777,talk to you about the medieval circle,Does he talk to you about the medieval circle?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09470_L0219_E003.pt
S09470_L0225_E003,does he talk to you about the medieval circle,has he talked to you about the medieval circle,77.7777777778,9,7,Let me talk to you about the medieval circle.,77.77777777777777,talk to you about the medieval circle,Does he talk to you about the medieval circle?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09470_L0225_E003.pt
S09476_L0206_E003,i wouldn't repeat what i said not to anybody,i wouldn't repeat what i said to anybody,88.8888888889,9,8,"I wouldn't repeat what I said, not to anybody.",100.0,i wouldn't repeat what i said not to anybody,"I wouldn't repeat what I said, not to anybody.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09476_L0206_E003.pt
S09476_L0212_E003,i wouldn't repeat what i said not to anybody,i wouldn't repeat what i said not to anybody,100.0,9,9,"I wouldn't repeat what I said, not to anybody.",100.0,i wouldn't repeat what i said not to anybody,"I wouldn't repeat what I said, not to anybody.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09476_L0212_E003.pt
S09480_L0222_E003,but i have always felt rather uncomfortable in her presence,but i have always felt,50.0,10,5,But I have always felt rather uncomfortable in her presence.,100.0,but i have always felt rather uncomfortable in her presence,But I have always felt rather uncomfortable in her presence.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09480_L0222_E003.pt
S09488_L0201_E003,season the lamb with salt and black pepper,season with salt and black pepper,75.0,8,6,Season the lamb with salt and black pepper.,100.0,season the lamb with salt and black pepper,Season the lamb with salt and black pepper.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09488_L0201_E003.pt
S09500_L0206_E003,it was a silly thing to say,it was a silly thing to say,100.0,7,7,It was a silly thing to say.,100.0,it was a silly thing to say,It was a silly thing to say.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09500_L0206_E003.pt
S09502_L0236_E003,didn't i dig that up a day or two ago,didn't i dig that up a day or two ago,100.0,10,10,Didn't I dig that up a day or two ago?,100.0,didn't i dig that up a day or two ago,Didn't I dig that up a day or two ago?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09502_L0236_E003.pt
S09509_L0224_E003,now you really look very nice in that,now you really look very nice in that,100.0,8,8,"Now, you really look very nice in that.",100.0,now you really look very nice in that,"Now, you really look very nice in that.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09509_L0224_E003.pt
S09510_L0225_E003,i want to hear that voice again,i want to hear that voice again,100.0,7,7,I want to hear that voice again.,100.0,i want to hear that voice again,I want to hear that voice again.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09510_L0225_E003.pt
S09510_L0231_E003,i want to hear that voice again,i want to hear that voice again,100.0,7,7,I want to hear that voice again.,100.0,i want to hear that voice again,I want to hear that voice again.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09510_L0231_E003.pt
S09519_L0216_E003,you didn't ask who he got his information from,you didn't ask who he got his information from,100.0,9,9,You didn't ask who he got his information from.,100.0,you didn't ask who he got his information from,You didn't ask who he got his information from.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09519_L0216_E003.pt
S09525_L0200_E003,if this is not possible she is best removed,if this was not possible best,55.5555555556,9,5,"If this is not possible, she is best removed.",100.0,if this is not possible she is best removed,"If this is not possible, she is best removed.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09525_L0200_E003.pt
S09529_L0206_E003,so here i am in this damp cell now,so here i am in this damp cell now,100.0,9,9,"So here I am, in this dark cellar.",66.66666666666667,so here i am in this,So here I am in this damp cell now.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09529_L0206_E003.pt
S09532_L0225_E003,it's my intention that they appear on my gravestone,it's my decision that they should appear on my gravestone,88.8888888889,9,8,It's my intention that they appear on my gravestone.,100.0,it's my intention that they appear on my gravestone,It's my intention that they appear on my gravestone.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09532_L0225_E003.pt
S09532_L0231_E003,it's my intention that they appear on my gravestone,it's my intention they appear on my gravestone ,88.8888888889,9,8,It's my intention that they appear on my gravestone.,100.0,it's my intention that they appear on my gravestone,It's my intention that they appear on my gravestone.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09532_L0231_E003.pt
S09533_L0227_E003,tuesday is also usually the interview day,tuesday is also the usual interview day,71.4285714286,7,5,Tuesday is also usually the interview day.,100.0,tuesday is also usually the interview day,Tuesday is also usually the interview day.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09533_L0227_E003.pt
S09540_L0216_E003,you could buy your own fighter plane for that,you could buy your own fighter plane for that,100.0,9,9,You could buy your own fighter plane for that.,100.0,you could buy your own fighter plane for that,You could buy your own fighter plane for that.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09540_L0216_E003.pt
S09542_L0218_E003,as well it might be i thought,as well it might be i thought,100.0,7,7,"As well it might be, I thought.",100.0,as well it might be i thought,"As well it might be, I thought.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09542_L0218_E003.pt
S09542_L0221_E003,as well it might be i thought,as well it might be i thought,100.0,7,7,"That's what it might be, I thought.",71.42857142857143,it might be i thought,"As well it might be, I thought.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09542_L0221_E003.pt
S09543_L0217_E003,what did you think of him personally,what did you think of him personally,100.0,7,7,What did you think of him personally?,100.0,what did you think of him personally,What did you think of him personally?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09543_L0217_E003.pt
S09546_L0243_E003,these are the army and the police out of uniform,the arm and the police out of uniform ,70.0,10,7,These are the army and the police out of uniform.,100.0,these are the army and the police out of uniform,These are the Army and the Police out of uniform.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09546_L0243_E003.pt
S09554_L0219_E003,until the police arrive i need to be alone,until the police arrive i need to be alone,100.0,9,9,"Until the police arrive, I need to be alone.",100.0,until the police arrive i need to be alone,Until the police arrive I need to be alone.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09554_L0219_E003.pt
S09564_L0200_E003,but i put on a bright new grin,and i put on a bright new,75.0,8,6,But I put on a bright new grin.,100.0,but i put on a bright new grin,But I put on a bright new grin.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09564_L0200_E003.pt
S09564_L0240_E003,but i put on a bright new grin,but i put on a bright new grin,100.0,8,8,But I put on a bright new grin.,100.0,but i put on a bright new grin,But I put on a bright new grin.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09564_L0240_E003.pt
S09569_L0242_E003,that will not be necessary he told her,that will not be necessary he told her,100.0,8,8,"That will not be necessary, he told her.",100.0,that will not be necessary he told her,"That will not be necessary, he told her.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09569_L0242_E003.pt
S09571_L0215_E003,this is thought to reflect a selection bias,this is thought the selection biased ,50.0,8,4,This is taught to reflect a selection bias.,87.5,this is to reflect a selection bias,This is thought to reflect a selection bias.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09571_L0215_E003.pt
S09573_L0217_E003,but she had no satisfactory answer to that,but she had a satisfactory answer for that,75.0,8,6,But she had no satisfactory answer to that.,100.0,but she had no satisfactory answer to that,But she had no satisfactory answer to that.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09573_L0217_E003.pt
S09577_L0219_E003,what time did he get home last night,what time did you get home last night,87.5,8,7,What time did he get home last night?,100.0,what time did he get home last night,What time did he get home last night?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09577_L0219_E003.pt
S09581_L0225_E003,she came between me and my wife,she came between me and my wife,100.0,7,7,She came between me and my wife.,100.0,she came between me and my wife,She came between me and my wife.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09581_L0225_E003.pt
S09581_L0231_E003,she came between me and my wife,she came between me and my wife,100.0,7,7,She came between me and my wife.,100.0,she came between me and my wife,She came between me and my wife.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09581_L0231_E003.pt
S09586_L0219_E003,finally he put it in his mouth,finally he put it in his mouth,100.0,7,7,"Finally, you put it in his mouth.",85.71428571428571,finally put it in his mouth,"Finally, he put it in his mouth.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09586_L0219_E003.pt
S09589_L0206_E003,you want to go over there then,you want to go over there then,100.0,7,7,You want to go over there then?,100.0,you want to go over there then,You want to go over there then?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09589_L0206_E003.pt
S09593_L0229_E003,she decided to extricate herself with dignity,she decided to extricate herself with dignity,100.0,7,7,She decided to extricate herself with dignity.,100.0,she decided to extricate herself with dignity,She decided to extricate herself with dignity.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09593_L0229_E003.pt
S09593_L0242_E003,she decided to extricate herself with dignity,she decided to extricate herself with dignity,100.0,7,7,She decided to extricate herself with dignity.,100.0,she decided to extricate herself with dignity,She decided to extricate herself with dignity.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09593_L0242_E003.pt
S09596_L0200_E003,we kill them and they kill us,we kill them and they kill us,100.0,7,7,We kill them and they kill us.,100.0,we kill them and they kill us,We kill them and they kill us.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09596_L0200_E003.pt
S09596_L0240_E003,we kill them and they kill us,we kill them and they kill us ,100.0,7,7,We kill them and they kill us.,100.0,we kill them and they kill us,We kill them and they kill us.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09596_L0240_E003.pt
S09606_L0200_E003,when are we going to have a game again,when are we going to have a day in the ,77.7777777778,9,7,When are we going to have a game again?,100.0,when are we going to have a game again,When are we going to have a game again?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09606_L0200_E003.pt
S09606_L0240_E003,when are we going to have a game again,when are we going to have a game again,100.0,9,9,When are we going to have a game again?,100.0,when are we going to have a game again,When are we going to have a game again?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09606_L0240_E003.pt
S09615_L0242_E003,still to come on central news the peak of ambition,still to come on the news the peak of our ambition,90.0,10,9,"Still to come on Central News, the peak of ambition.",100.0,still to come on central news the peak of ambition,"Still to come on Central News, the peak of ambition.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09615_L0242_E003.pt
S09616_L0243_E003,the private dirt track led directly to it,the private dirt track led directly to it ,100.0,8,8,The private dirt track led directly to it.,100.0,the private dirt track led directly to it,The private dirt track led directly to it.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09616_L0243_E003.pt
S09620_L0236_E003,into the fire with the dead meat,into the fire with a dead neep,71.4285714286,7,5,into the fire with the dead meat,100.0,into the fire with the dead meat,into the fire with the dead meat.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09620_L0236_E003.pt
S09621_L0243_E003,this time he was going to have everything covered,this time he was going to have everything covered ,100.0,9,9,This time he was going to have everything covered.,100.0,this time he was going to have everything covered,This time he was going to have everything covered.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09621_L0243_E003.pt
S09625_L0236_E003,he made a sudden dash for the undergrowth,you know the sudden dearth of the undergrowth,37.5,8,3,He made a sudden dash for the undergrowth.,100.0,he made a sudden dash for the undergrowth,He made a sudden dash for the undergrowth.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09625_L0236_E003.pt
S09626_L0239_E003,jealousy had pierced his side like a spear,to her side like a spear,50.0,8,4,jealousy had pierced his side like a spear,100.0,jealousy had pierced his side like a spear,Jealousy had pierced his side like a spear.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09626_L0239_E003.pt
S09627_L0216_E003,quite possibly it reverted to its former use,quite possibly it reverted to its former use,100.0,8,8,Quite possibly it reverted to its former use.,100.0,quite possibly it reverted to its former use,Quite possibly it reverted to its former use.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09627_L0216_E003.pt
S09628_L0215_E003,i'm not going to please you by doing that,i'm not going to please you by doing that,100.0,9,9,I'm not going to please you by doing that.,100.0,i'm not going to please you by doing that,I'm not going to please you by doing that.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09628_L0215_E003.pt
S09637_L0236_E003,take a look at them will you,take a look at them will you,100.0,7,7,Take a look at them William.,71.42857142857143,take a look at them,Take a look at them will you?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09637_L0236_E003.pt
S09641_L0217_E003,is there going to be a book,is there going to be a book,100.0,7,7,Is there going to be a book?,100.0,is there going to be a book,Is there going to be a book?,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09641_L0217_E003.pt
S09646_L0227_E003,any kind of treatment or rehabilitation is impossible,limitation is impossible,25.0,8,2,Any kind of treatment or rehabilitation is impossible.,100.0,any kind of treatment or rehabilitation is impossible,Any kind of treatment or rehabilitation is impossible.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09646_L0227_E003.pt
S09649_L0227_E003,money apparently was no object although there was no money,drop although there was no money,50.0,10,5,"Money apparently was no object, although there was no money.",100.0,money apparently was no object although there was no money,"Money apparently was no object, although there was no money.",/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09649_L0227_E003.pt
S09655_L0216_E003,and the good must triumph over the bad,and the good must triumph over the bad,100.0,8,8,And the good must triumph over the bad.,100.0,and the good must triumph over the bad,And the good must triumph over the bad.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09655_L0216_E003.pt
S09666_L0224_E003,smoking is dangerous for you and your baby,it is dangerous for you and your baby,87.5,8,7,Smoking is dangerous for you and your baby.,100.0,smoking is dangerous for you and your baby,Smoking is dangerous for you and your baby.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09666_L0224_E003.pt
S09676_L0217_E003,nobody is about to tell me though,nobody is about to tell me though,100.0,7,7,Nobody is about to tell me though.,100.0,nobody is about to tell me though,Nobody is about to tell me though.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09676_L0217_E003.pt
S09677_L0209_E003,i had to work very hard to satisfy him,i had to work very hard to satisfy them,88.8888888889,9,8,I had to work very hard to satisfy him.,100.0,i had to work very hard to satisfy him,I had to work very hard to satisfy him.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09677_L0209_E003.pt
S09678_L0222_E003,don't tell me about the girl who lost her childhood,don't tell me about the girl who lost her childhood,100.0,10,10,Don't tell me about the girl who lost her childhood.,100.0,don't tell me about the girl who lost her childhood,Don't tell me about the girl who lost her childhood.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09678_L0222_E003.pt
S09681_L0217_E003,i'm just delighted to make the team,i'm just delighted to make the tea,85.7142857143,7,6,I'm just delighted to make the team.,100.0,i'm just delighted to make the team,I'm just delighted to make the team.,/scratch5/fazh9208/clarity/recipes/whisper_si/results/hidden_representations/S09681_L0217_E003.pt
